site,grassType,lat,lon,spNum,n,soc,pr_growing,srad_growing,vpd_growing,tmean_growing,p,soilMoist,soilBD,agb,BGB_0_10,BGB_10_20,BGB_20_30,BGB_0_30,prop_top10,AGB_BGB_0_30,AGB_BGB_0_10,NIRveos
NMG-P054,Temperate steppe,41.30175,110.987944,7,0.098378,0.677826,56.88888889,2405.111111,118.2222222,17.08888889,0.675215,53.66666667,1.61,239.966667,691.12,371.22,291.65,1353.99,42.55297247,5.64240866,2.880066672,279.4662781
NMG-P175,Temperate meadow steppe,49.339861,117.205528,8,0.213592,1.953102,58,2152.777778,93.66666667,16.77222222,0.165446,49.66666667,1.29,402.25,1055.84,337.76,155.89,1549.49,19.55297247,3.852057178,2.624835301,279.4881287
NMG-P024,Lowland meadows,38.081778,107.645806,1,0.023739,0.085132,57.77777778,2264.444444,132.2222222,20.2,0.374495,22.44444444,1.486183,155.866667,290.266667,,,,,,1.862275447,279.7105713
NMG-P125,Lowland meadows,44.548083,118.666806,9,0.277438,2.642795,59.22222222,2298.555556,91.22222222,15.93888889,0.381498,53.11111111,1.32,369.51,1161.71,416.68,110.1,1688.49,27.55297247,4.569538037,3.143920327,279.7338562
XJYL-P111,Desert steppe,43.243673,82.239825,6,0.165131,1.135888,29.33333333,2397.555556,158.2222222,20.60555556,0.791743,29.33333333,1.3965,260.52,1397.5,527.43,142.58,2067.51,250.5529725,7.93608936,5.364271457,279.7338562
ALT-191,Mountain meadows,46.816667,90.7,13,0.517578,5.082678,20.44444444,2220,58.77777778,9.666666667,1.047334,20.66666667,0.917933,103.713333,2147.679588,,,,,,20.70784465,279.7968445
NMG-P159,Temperate meadow steppe,46.424389,120.357667,9,0.338526,4.032504,82.66666667,2195,83,15.98888889,0.358128,28.44444444,1.06,305.2,1327.32,451.49,544.51,2323.32,69.55297247,7.612450852,4.349017038,279.8887024
NMG-P182,Temperate steppe,48.279778,117.291083,6,0.146019,1.1177,47.55555556,2179.666667,105.5555556,17.83888889,0.468233,8.555555556,1.49,297.373333,1257.52,333.87,287.75,1879.14,50.55297247,6.319127479,4.228758468,279.891449
XJYL-P002,Desert steppe,43.789794,80.76278,5,0.067801,0.533087,19.11111111,2395.777778,188.3333333,22.51666667,0.700567,29.55555556,1.354833,310.993333,1490.38,670.33,304.64,2465.35,249.5529725,7.927340359,4.792321384,279.9394226
ALT-089,Lowland meadows,47.283333,88.166667,10,0.065702,0.554311,16.22222222,2364,147.2222222,19.75555556,0.818229,25.88888889,1.351667,417.163333,2847.103214,,,,,,6.824912423,280.0726318
XJYL-P042,Temperate steppe,43.714692,82.750538,8,0.162838,1.36529,35.55555556,2373.111111,157.1111111,20.39444444,0.162713,15.55555556,1.528033,155.936667,1379.96,508.59,242.61,2131.16,133.5529725,13.66683052,8.849490159,280.2226257
NMG-P139,Temperate steppe,45.072944,119.003361,7,0.148984,1.273288,59.88888889,2301.555556,92.66666667,16.43333333,0.309975,23.66666667,1.22,286.926667,946.71,310.48,124.71,1381.9,31.55297247,4.816213196,3.299484185,280.3585205
